UNITID,iheName,MSI_Flag,studentsRecipientsTotal,eligibleStudentsTotal,studentPortionDisbursedTotal,avgStudentAward,pct_eligible_who_received_aid_by_inst,pct_enrolled_who_received_aid_by_inst,pct_enrolled_who_were_eligible,pctPell,pct_received_who_are_pell,eligiblePellUG,eligibleNonPellUG,eligibleUG,receivedPellUG,receivedNonPellUG,receivedUG,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OPEID,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,INSTCAT,LANDGRNT,INSTSIZE,LOCALE,POSTSEC,PSEFLAG,PSET4FLG,LONGITUD,LATITUDE,FT_Previous_Cohort_2017,FT_Previous_Cohort_2018,FT_Previous_Cohort_2019,FT_Previous_Cohort_2020,FT_Previous_Cohort_2021,FT_Previous_Cohort_Adj_2017,FT_Previous_Cohort_Adj_2018,FT_Previous_Cohort_Adj_2019,FT_Previous_Cohort_Adj_2020,FT_Previous_Cohort_Adj_2021,FT_Retention_N_2017,FT_Retention_N_2018,FT_Retention_N_2019,FT_Retention_N_2020,FT_Retention_N_2021,FT_Retention_Rate_2017,FT_Retention_Rate_2018,FT_Retention_Rate_2019,FT_Retention_Rate_2020,FT_Retention_Rate_2021,New_Cohort_2017,New_Cohort_2018,New_Cohort_2019,New_Cohort_2020,New_Cohort_2021,New_UG_2017,New_UG_2018,New_UG_2019,New_UG_2020,New_UG_2021,PT_Previous_Cohort_2017,PT_Previous_Cohort_2018,PT_Previous_Cohort_2019,PT_Previous_Cohort_2020,PT_Previous_Cohort_2021,PT_Previous_Cohort_Adj_2017,PT_Previous_Cohort_Adj_2018,PT_Previous_Cohort_Adj_2019,PT_Previous_Cohort_Adj_2020,PT_Previous_Cohort_Adj_2021,PT_Retention_N_2017,PT_Retention_N_2018,PT_Retention_N_2019,PT_Retention_N_2020,PT_Retention_N_2021,PT_Retention_Rate_2017,PT_Retention_Rate_2018,PT_Retention_Rate_2019,PT_Retention_Rate_2020,PT_Retention_Rate_2021
228246,SOUTHERN METHODIST UNIVERSITY,0,1654,1654,2299130,1390.042321644498,100,12.896686159844052,12.896686159844052,0.094,79.62529274004683,680,174,854,680,174,854,Southern Methodist University,6425 Boaz St,Dallas,TX,75275-0221,48,00361300,2,1,2,9,1,1,2,2,4,21,1,1,1,-96.783365,32.843612,1521,1421,1526,1541,1529,1521,1421,1526,1541,1529,1384,1287,1396,1392,1385,91,91,91,90,91,1421,1526,1541,1529,1568,1715,1795,1852,1847,1862,1,2,4,3,2,1,2,4,3,2,0,2,4,2,2,0,100,100,67,100
441760,LAMAR INSTITUTE OF TECHNOLOGY,0,1078,2867,637200,591.0946196660483,37.60027903732124,27.648114901256733,73.53167478840729,0.473,73.28385899814471,1722,1145,2867,790,288,1078,Lamar Institute of Technology,855 E Lavaca,Beaumont,TX,77705,48,03627300,4,2,1,3,1,2,4,2,2,12,1,1,1,-94.077126,30.047885,434,536,506,570,475,434,535,501,569,475,258,324,295,347,258,59,61,59,61,54,515,506,570,475,364,1068,1286,1119,1857,2518,251,191,187,178,319,251,191,187,178,319,119,94,106,82,148,47,49,57,46,46
443298,TREND BARBER COLLEGE,0,94,94,94000,1000,100,71.21212121212122,71.21212121212122,1,NA,NA,NA,NA,NA,NA,NA,Trend Barber College,8250 W Bellfort,Houston,TX,77071-2202,48,03714300,9,3,3,2,1,2,6,2,1,11,1,1,1,-95.522116,29.65621,2,13,5,6,4,2,13,5,6,4,2,11,5,6,4,100,85,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443021,DALLAS BARBER AND STYLIST COLLEGE,0,50,63,86300,1726,79.36507936507937,25.906735751295333,32.64248704663213,1,100,63,0,63,50,0,50,Dallas Barber & Stylist College,9357 Forest Lane,Dallas,TX,75243,48,03682400,9,3,3,2,1,2,6,2,1,11,1,1,1,-96.737009,32.909891,102,103,90,94,56,102,103,90,94,55,62,76,80,82,38,61,74,89,87,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451556,"QUIKSTUDY LEARNING CENTER, INC.",0,1057,1057,2015256,1906.580889309366,100,37.76348695962844,37.76348695962844,0.846,100,1057,0,1057,1057,0,1057,Southwest University at El Paso,1414 Geronimo,El Paso,TX,79925,48,04131700,3,1,3,5,1,2,3,2,2,11,1,1,1,-106.413158,31.788346,112,133,144,121,99,112,133,144,121,99,85,83,120,105,88,76,62,83,87,89,559,752,213,242,402,559,752,940,548,891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
461740,BUCKNER BARBER SCHOOL,0,21,21,18591.93,885.33,100,80.76923076923077,80.76923076923077,0.854,NA,NA,NA,21,NA,NA,21,Buckner Barber School,"1515 South Buckner Boulevard, Suite 147",Dallas,TX,75217-1775,48,04177900,9,3,3,2,1,2,6,2,1,11,1,1,1,-96.684709,32.737175,11,14,13,13,17,11,14,13,13,17,9,9,9,10,15,82,64,69,77,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228325,SOUTHWESTERN ASSEMBLIES OF GOD UNIVERSITY,0,782,782,1275093,1630.5537084398975,100,30.57075840500391,30.57075840500391,0.522,57.8005115089514,452,330,782,452,330,782,Southwestern Assemblies of God University,1200 Sycamore,Waxahachie,TX,75165,48,00361600,2,1,2,9,1,1,2,2,2,21,1,1,1,-96.853492,32.40443,194,188,172,158,169,194,188,172,158,169,139,131,116,113,114,72,70,67,72,67,320,296,311,314,281,559,549,546,513,465,3,7,3,3,3,3,7,3,3,3,3,5,1,1,3,100,71,33,33,100
223232,BAYLOR UNIVERSITY,0,2697,14674,5394000,2000,18.379446640316203,14.22768516564676,77.41084617007807,0.194,57.10048201705599,2213,11066,13279,1540,1157,2697,Baylor University,NA,Waco,TX,76798,48,00354500,2,1,2,9,1,1,2,2,4,12,1,1,1,-97.121041,31.546872,3496,3316,3364,3303,3721,3496,3316,3364,3303,3721,3132,2946,2972,2994,3288,90,89,88,91,88,3316,3364,3303,3721,4258,3703,3736,3810,4152,4653,7,4,2,4,10,7,4,2,4,10,4,2,2,4,8,57,50,100,100,80
491996,COSMETOLOGY SCHOOLS NORTH AUSTIN LLC,0,36,41,27000,750,87.8048780487805,52.94117647058824,60.29411764705882,NA,52.77777777777778,24,17,41,19,17,36,The Salon Professional Academy-Georgetown,901 South IH 35,Georgetown,TX,78626-5470,48,04276700,9,3,3,2,1,2,6,2,1,13,1,1,1,-97.688068,30.635778,NA,8,13,29,10,NA,8,13,29,10,NA,7,12,26,8,NA,88,92,90,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
229267,TRINITY UNIVERSITY,0,1206,1532,912705.25,756.8036898839138,78.72062663185379,43.47512617159337,55.22710886806056,0.172,33.27321911632101,369,1066,1435,369,740,1109,Trinity University,One Trinity Place,San Antonio,TX,78212-7200,48,00364700,2,1,2,7,1,1,2,2,2,11,1,1,1,-98.48186,29.462682,662,642,690,646,634,660,642,690,644,634,586,582,637,572,582,89,91,92,89,92,642,690,646,634,663,668,718,682,666,688,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
