unitid,opeid,instnm,stabbr,iheType,iheControl,pctNative,pctAsian,pctBlack,pctHispanic,pctIslander,pctWhite,pctMultRaces,pctFullTime,pctPartTime,pctPell,hbcu,pbi,annhi,tribal,aanapii,hsi,nanti,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,state,awardedAmountsStudentAid,awardedAmountsInstitutional,awardedAmountsHbcu,awardedAmountsTccu,awardedAmountsMsi,awardedAmountsSip,awardedAmountsSaihe,awardedAmountsFipse,awardedAmountsProprietary,awards,ugFtPellEnrolled,ugFtNonPellEnrolled,ugPtPellEnrolled,ugPtNonPellEnrolled,gFtEnrolled,gPtEnrolled,distributed_to_more_than_enrolled,ugFtPellHeerRecipients,ugFtNonPellHeerRecipients,ugPtPellHeerRecipients,gFtHeerRecipients,gPtHeerRecipients,allStudentsHeerRecipients,a1InstitutionalDirectTotal,a2DirectUgFtPell,a2DirectUgFtNonPell,a2DirectUgPtPell,a2DirectUgPtNonPell,a2DirectGFt,a2DirectGPt,a2DirectTotal,a3DirectUgFtPell,a3DirectUgFtNonPell,a3DirectUgPtPell,a3DirectUgPtNonPell,a3DirectGFt,a3DirectGPt,a3DirectTotal,a4DirectUgFtPell,a4DirectUgFtNonPell,a4DirectUgPtPell,a4DirectUgPtNonPell,a4DirectGFt,a4DirectGPt,a4DirectTotal,minimumAwardUgFtPell,minimumAwardUgFtNonPell,minimumAwardUgPtPell,minimumAwardUgPtNonPell,minimumAwardGFt,minimumAwardGPt,minimumAward,maximumAwardUgFtPell,maximumAwardUgFtNonPell,maximumAwardUgPtPell,maximumAwardUgPtNonPell,maximumAwardGFt,maximumAwardGPt,maximumAward,ugFtPellGrantAmountTotal,ugFtNonPellGrantAmountTotal,ugPtPellGrantAmountTotal,ugPtNonPellGrantAmountTotal,gFtGrantAmountTotal,gPtGrantAmountTotal,allStudentsGrantAmountTotal,ugFtPellAverageHeerAmount,ugFtNonPellAverageHeerAmount,ugPtPellAverageHeerAmount,ugPtNonPellAverageHeerAmount,gFtAverageHeerAmount,gPtAverageHeerAmount,allStudentsAverageHeerAmount,nEnrolledStudentsNotEligibleTitleIV,pEnrolledStudentsNotEligibleTitleIV,nStudentsReceivedGrantsNotEligibleTitleIV,pStudentsGrantedHeerNotEligibleTitleIV,aiEnrolledStudentCount,aEnrolledStudentCount,bEnrolledStudentCount,hEnrolledStudentCount,nhEnrolledStudentCount,wEnrolledStudentCount,tmrEnrolledStudentCount,urEnrolledStudentCount,nrEnrolledStudentCount,ncrEnrolledStudentCount,mEnrolledStudentCount,woEnrolledStudentCount,ncgEnrolledStudentCount,tfoEnrolledStudentCount,tfyEnrolledStudentCount,aiReceivedAidGrant,aReceivedAidGrant,bReceivedAidGrant,hReceivedAidGrant,nhReceivedAidGrant,wReceivedAidGrant,tmrReceivedAidGrant,urReceivedAidGrant,nrReceivedAidGrant,ncrReceivedAidGrant,mReceivedAidGrant,woReceivedAidGrant,ncgReceivedAidGrant,tfoReceivedAidGrant,tfyReceivedAidGrant,aiTotalAmountOfGrants,aTotalAmountOfGrants,bTotalAmountOfGrants,hTotalAmountOfGrants,nhTotalAmountOfGrants,wTotalAmountOfGrants,tmrTotalAmountOfGrants,urTotalAmountOfGrants,nrTotalAmountOfGrants,ncrTotalAmountOfGrants,mTotalAmountOfGrants,woTotalAmountOfGrants,ncgTotalAmountOfGrants,tfoTotalAmountOfGrants,tfyTotalAmountOfGrants,aiAverageHeerfAward,aAverageHeerfAward,bAverageHeerfAward,hAverageHeerfAward,nhAverageHeerfAward,wAverageHeerfAward,tmrAverageHeerfAward,urAverageHeerfAward,nrAverageHeerfAward,ncrAverageHeerfAward,mAverageHeerfAward,woAverageHeerfAward,ncgAverageHeerfAward,tfoAverageHeerfAward,tfyAverageHeerfAward,enroll2021Ug,enroll2021UgW,enroll2021G,enroll2021GW,enroll2020Ug,enroll2020UgW,enroll2020G,enroll2020GW,enroll2019Ug,enroll2019UgW,enroll2019UgC,enroll2019UgSe,enroll2019G,enroll2019GW,MSI_Count,MSI_Flag
229018,00993000,The University of Texas Permian Basin,TX,4 Year,Public,0.004,0.03,0.074,0.302,0.002,0.498,0.021,0.383,0.617,0.444,0,0,0,0,0,1,0,0,0,0,0,0,1,0,TEXAS,5876599,7405548,0,0,912372,0,0,0,0,"P425E201232 (Student Aid) / $5,876,599|P425F202531 (Institutional Portion) / $7,405,548|P425L200135 (Minority Serving Institutions) / $912,372",1481,1953,402,1917,786,1162,0,1000,959,227,283,281,3135,0,2000,6250,0,2200,4500,3000,17950,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,700,700,700,700,700,700,700,3900,3700,2700,2200,3000,3500,3900,1228449,1067623,236626,294809,320593,260566,3408666,1228.449,1113.266944734098,1042.405286343612,765.7376623376623,1132.837455830389,927.2811387900356,1087.293779904306,3111,0.4039735099337748,730,0.2328548644338118,37,230,573,2385,NA,3747,159,342,215,NA,NA,4591,NA,NA,4237,17,83,338,1067,NA,1278,67,142,134,NA,NA,1884,NA,NA,1905,20617,80779,421875,1100755,NA,1360981,89900,161111,157216,NA,NA,1344571,NA,NA,2127281,1212.764705882353,973.2409638554217,1248.150887573965,1031.635426429241,NA,1064.930359937402,1341.791044776119,1134.584507042254,1173.253731343284,NA,NA,713.6788747346072,NA,NA,1116.682939632546,4476,880,1696,346,4639,914,1792,370,4536,977,770,2789,1699,359,1,1
436775,03371300,Toni & Guy Hairdressing Academy-Plano,TX,Less Than 2 Year,Private For-Profit,0.005,0.018,0.041,0.138,0,0.532,0.005,NA,NA,0.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TEXAS,156598,156597,0,0,0,0,0,0,183416,"P425E204739 (Student Aid) / $156,598|P425F203570 (Institutional Portion) / $156,597|P425Q210547 (Proprietary Institutions Grant Funds for Students) / $183,416",78,NA,NA,NA,NA,NA,0,77,NA,NA,NA,NA,127,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,87000,47600,0,0,0,0,134600,1500,800,0,0,0,0,800,1500,1000,0,0,0,0,1500,87000,47600,0,0,0,0,134600,1129.87012987013,NA,NA,NA,NA,NA,1059.842519685039,43,0.2810457516339869,12,0.09448818897637795,NA,8,6,19,NA,77,NA,40,NA,NA,NA,146,NA,NA,95,NA,6,NA,10,NA,54,NA,31,NA,NA,NA,109,NA,NA,62,NA,9000,NA,15000,NA,66500,NA,39600,NA,NA,NA,106000,NA,NA,71800,NA,1500,1500,1500,NA,1231.481481481482,NA,1277.41935483871,NA,NA,NA,972.4770642201835,NA,NA,1158.064516129032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
443146,03680300,Jay's Technical Institute,TX,Less Than 2 Year,Private For-Profit,0,0,0.777,0.21,0,0.013,0,NA,NA,0.821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TEXAS,63470,63469,0,0,0,0,0,0,187443,"P425E200049 (Student Aid) / $63,470|P425F200223 (Institutional Portion) / $63,469|P425Q210404 (Proprietary Institutions Grant Funds for Students) / $187,443",126,NA,NA,NA,NA,NA,0,53,NA,NA,NA,NA,60,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,18000,0,0,0,0,0,18000,250,250,250,250,0,0,250,12000,6000,6000,6000,0,0,12000,111460,34961,0,0,0,0,146421,2103.018867924528,NA,NA,NA,NA,NA,2440.35,7,0.05263157894736842,7,0.1166666666666667,NA,NA,95,32,NA,NA,NA,NA,NA,NA,104,NA,NA,98,NA,NA,NA,41,15,NA,NA,NA,NA,NA,NA,43,NA,NA,49,NA,NA,NA,98671,40250,NA,NA,NA,NA,NA,NA,53260,NA,NA,115771,NA,NA,NA,2406.609756097561,2683.333333333333,NA,NA,NA,NA,NA,NA,1238.604651162791,NA,NA,2362.673469387755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
227854,00360800,St Philip's College,TX,2 Year,Public,0.003,0.024,0.093,0.598,0.001,0.22,0.036,0.124,0.876,0.678,1,0,0,0,0,0,0,1,0,0,0,0,0,0,TEXAS,11443533,16023476,93176554,0,0,0,0,0,0,"P425E202550 (Student Aid) / $11,443,533|P425F201748 (Institutional Portion) / $16,023,476|P425J200086 (Historically Black Colleges and Universities) / $93,176,554",2250,NA,2336,6592,NA,NA,0,2001,NA,1549,NA,NA,6129,378128.95,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,200,47.75,123.25,9,0,0,9,10800,6200,8800,5200,0,0,10800,4087967.21,656391.28,3048831.96,948274.48,0,0,8741464.93,2042.962123938031,NA,1968.258205293738,613.3728848641656,NA,NA,1426.246521455376,NA,0,1084,0.1768640887583619,NA,254,1143,7491,NA,2793,507,381,NA,NA,NA,7491,NA,NA,8252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
228635,01001900,University of Texas Southwestern Medical Center,TX,4 Year,Public,0.001,0.188,0.045,0.123,0,0.281,0.03,0.758,0.242,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,TEXAS,1383819,1624863,0,0,0,0,0,0,0,"P425E203795 (Student Aid) / $1,383,819|P425F203380 (Institutional Portion) / $1,624,863",NA,NA,NA,NA,2110,NA,0,NA,NA,NA,NA,NA,1849,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,115,0,115,0,0,0,0,3053,0,3053,0,0,0,0,1081561,0,1081561,NA,NA,NA,NA,NA,NA,584.9437533802055,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
223232,00354500,Baylor University,TX,4 Year,Private Not-For-Profit,0.004,0.069,0.071,0.153,0.001,0.597,0.042,0.909,0.091,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TEXAS,24542232,29469396,0,0,0,0,0,0,0,"P425E203625 (Student Aid) / $24,542,232|P425F203050 (Institutional Portion) / $29,469,396",2390,14470,463,1282,4615,2593,0,2390,1785,463,945,683,6589,298000,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,2000,2000,2000,2000,2000,2000,2000,6000,4000,6000,4000,4000,2000,6000,6996000,4254000,1616000,810000,1906000,1366000,16948000,2927.196652719665,2383.193277310924,3490.280777537797,2507.739938080495,2016.931216931217,2000,2572.165730763394,8620,0.3339402626583504,NA,NA,93,1901,1793,3967,NA,15423,1144,339,1124,NA,NA,15850,NA,NA,20237,33,606,754,1576,NA,3207,344,61,NA,NA,NA,4371,NA,NA,5268,80000,1660000,1920000,4116000,NA,8086000,912000,152000,NA,NA,NA,11178000,NA,NA,14136000,2424.242424242424,2739.273927392739,2546.419098143236,2611.675126903554,NA,2521.359526036795,2651.162790697675,2491.803278688525,0,NA,NA,2557.309540150995,NA,NA,2683.371298405467,18276,192,7191,148,17730,123,6130,118,17029,94,3215,13720,5056,90,0,0
483735,04215000,Total Transformation Institute of Cosmetology,TX,Less Than 2 Year,Private For-Profit,0,0.015,0.121,0.424,0,0.394,0,NA,NA,0.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TEXAS,0,0,0,0,0,0,0,0,35051,"P425Q210582 (Proprietary Institutions Grant Funds for Students) / $35,051",27,21,27,NA,NA,NA,0,14,NA,13,NA,NA,40,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,28,0.2978723404255319,NA,NA,NA,NA,11,38,NA,38,NA,NA,NA,NA,NA,90,NA,NA,49,NA,NA,NA,20,NA,14,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,10000,NA,7000,NA,NA,NA,NA,NA,NA,NA,10500,NA,NA,NA,500,500,NA,500,NA,NA,NA,NA,NA,500,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
228723,00363200,Texas A & M University-College Station,TX,4 Year,Public,0.002,0.087,0.028,0.225,0.001,0.547,0.031,0.865,0.135,0.23,0,0,0,0,0,1,0,0,0,0,0,0,1,0,TEXAS,93808397,115043909,0,0,0,0,0,0,0,"P425E201929 (Student Aid) / $93,808,397|P425F201222 (Institutional Portion) / $115,043,909",13547,46858,1038,4788,16372,3902,0,13474,14286,1031,7109,1064,38166,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,400,400,700,400,400,400,400,3800,3800,3100,3100,3100,3100,3800,26242823,15539300,1406100,1038150,7742050,1261200,53229623,1947.66387115927,1087.729245415092,1363.821532492726,863.6855241264559,1089.049092699395,1185.338345864662,1394.686972698213,30970,0.3580139876307728,1902,0.04983493161452602,185,8145,2399,19381,NA,46656,2781,995,5919,NA,45187,NA,NA,NA,72131,97,3868,1717,12544,NA,17402,1263,427,820,NA,NA,19574,NA,NA,32483,114300,5353150,2627650,19333750,NA,22440073,1757950,521700,1041450,NA,NA,27369700,NA,NA,46093573,1178.350515463917,1383.958117890383,1530.372743156669,1541.274713010204,NA,1289.511148143891,1391.884402216944,1221.779859484777,1270.060975609756,NA,1390.916684595525,NA,NA,NA,1419.006033925438,65088,788,20159,248,62483,580,18891,195,61695,578,11542,49575,19263,156,1,1
228909,00976800,University of North Texas Health Science Center,TX,4 Year,Public,0.001,0.282,0.079,0.152,0.001,0.406,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,TEXAS,1455800,1600499,0,0,0,0,0,0,0,"P425E203892 (Student Aid) / $1,455,800|P425F202423 (Institutional Portion) / $1,600,499",NA,NA,NA,NA,3091,NA,0,NA,NA,NA,640,NA,645,321149,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,750,1050,750,0,0,0,0,3750,2250,3750,0,0,0,0,1464550,12250,1476800,NA,NA,NA,NA,2288.359375,NA,2289.612403100775,783,0.2387195121951219,43,0.06666666666666667,22,894,326,522,NA,1318,48,63,79,NA,NA,2108,NA,2188,NA,NA,192,121,127,NA,163,8,17,13,NA,NA,374,NA,384,NA,NA,411349,238200,248500,NA,499201,15600,29400,27500,NA,NA,915149,NA,932650,NA,1762.5,2142.442708333333,1968.595041322314,1956.692913385827,NA,3062.582822085889,1950,1729.411764705882,2115.384615384615,NA,NA,2446.922459893048,NA,2428.776041666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
226860,00849800,William Edge Institute,TX,Less Than 2 Year,Private For-Profit,0,0,0.046,0.446,0,0.508,0,NA,NA,0.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TEXAS,22044,22044,0,0,0,0,0,0,61152,"P425E204399 (Student Aid) / $22,044|P425F203135 (Institutional Portion) / $22,044|P425Q210029 (Proprietary Institutions Grant Funds for Students) / $61,152",28,NA,NA,NA,NA,NA,0,28,NA,NA,NA,NA,50,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,407.19,407.19,0,0,0,0,407.19,2876.16,958.72,0,0,0,0,2876.16,47230.06,13921.95,0,0,0,0,61152.00999999999,1686.787857142857,NA,NA,NA,NA,NA,1223.0402,22,0.44,22,0.44,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,34,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,34,NA,NA,NA,39730.35,NA,NA,NA,NA,NA,NA,NA,56095.44,NA,NA,38483.07,NA,NA,NA,1528.090384615385,NA,NA,NA,NA,NA,NA,NA,1219.466086956522,NA,NA,1131.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
