unitid,instnm,PellAmount,No_FT_Pell_Listed,No_PT_Pell_Listed
494728,Michael's Barber & Hair Stylist Academy,1,1,1
228185,South Texas Barber College Inc,1,1,1
246415,UCAS University of Cosmetology Arts & Sciences-San Antonio 410,1,1,1
491996,The Salon Professional Academy-Georgetown,1,1,1
451556,Southwest University at El Paso,1,1,1
443322,Valley Grande Institute for Academic Studies,1,1,1
443021,Dallas Barber & Stylist College,1,1,1
430704,Texas Health and Science University,1,1,1
247825,Austin Graduate School of Theology,1,1,1
226675,Covenant School of Nursing and Allied Health,1,1,1
494977,American Medical Institute Inc.,1,1,1
494694,Texas Healthtech Institute,1,1,1
224013,BK Cosmo College of Cosmetology,1,1,1
491251,The Culinary School of Fort Worth,1,1,1
224271,Dallas Institute of Funeral Service,1,1,1
246460,Central Texas Beauty College-Round Rock,1,1,1
455336,MediaTech Institute-Dallas,1,1,1
455327,Hands on Therapy,1,1,1
229416,Universal Technical Institute of Texas Inc.,1,1,1
488299,Mission Beauty Institute,1,1,1
369686,Northwest Educational Center,1,1,1
437608,Advanced Barber College and Hair Design,1,1,1
493804,Deluxe Barber College,1,1,1
