unitid,iheName,MSI_Flag,studentsRecipientsTotal,eligibleStudentsTotal,studentPortionDisbursedTotal,avgStudentAward,pct_eligible_who_received_aid_by_inst,pct_enrolled_who_received_aid_by_inst,pct_enrolled_who_were_eligible,pctPell,pct_received_who_are_pell,eligiblePellUG,eligibleNonPellUG,eligibleUG,receivedPellUG,receivedNonPellUG,receivedUG
228246,SOUTHERN METHODIST UNIVERSITY,0,1654,1654,2299130,1390.042321644498,100,12.896686159844053,12.896686159844053,0.094,79.62529274004683,680,174,854,680,174,854
441760,LAMAR INSTITUTE OF TECHNOLOGY,0,1078,2867,637200,591.0946196660483,37.60027903732124,27.648114901256733,73.53167478840729,0.473,73.28385899814471,1722,1145,2867,790,288,1078
443298,TREND BARBER COLLEGE,0,94,94,94000,1000,100,71.21212121212122,71.21212121212122,1,NA,NA,NA,NA,NA,NA,NA
443021,DALLAS BARBER AND STYLIST COLLEGE,0,50,63,86300,1726,79.36507936507937,25.906735751295333,32.64248704663213,1,100,63,0,63,50,0,50
451556,"QUIKSTUDY LEARNING CENTER, INC.",0,1057,1057,2015256,1906.580889309366,100,37.76348695962844,37.76348695962844,0.846,100,1057,0,1057,1057,0,1057
461740,BUCKNER BARBER SCHOOL,0,21,21,18591.93,885.33,100,80.76923076923077,80.76923076923077,0.854,NA,NA,NA,21,NA,NA,21
228325,SOUTHWESTERN ASSEMBLIES OF GOD UNIVERSITY,0,782,782,1275093,1630.5537084398977,100,30.57075840500391,30.57075840500391,0.522,57.8005115089514,452,330,782,452,330,782
223232,BAYLOR UNIVERSITY,0,2697,14674,5394000,2000,18.379446640316203,14.227685165646761,77.41084617007807,0.194,57.10048201705599,2213,11066,13279,1540,1157,2697
491996,COSMETOLOGY SCHOOLS NORTH AUSTIN LLC,0,36,41,27000,750,87.8048780487805,52.94117647058824,60.29411764705882,NA,52.77777777777778,24,17,41,19,17,36
229267,TRINITY UNIVERSITY,0,1206,1532,912705.25,756.8036898839138,78.72062663185379,43.47512617159337,55.22710886806056,0.172,33.27321911632101,369,1066,1435,369,740,1109
488299,MISSION BEAUTY INSTITUTE LLC,0,36,36,30534,848.1666666666666,100,72,72,0.11,100,36,0,36,36,0,36
