"","UNITID","XGRCOHRT","GRCOHRT","XUGENTER","UGENTERN","XPGRCOHR","PGRCOHRT","XRRFTCT","RRFTCT","XRRFTEX","RRFTEX","XRRFTIN","RRFTIN","XRRFTCTA","RRFTCTA","XRET_NMF","RET_NMF","XRET_PCF","RET_PCF","XRRPTCT","RRPTCT","XRRPTEX","RRPTEX","XRRPTIN","RRPTIN","XRRPTCTA","RRPTCTA","XRET_NMP","RET_NMP","XRET_PCP","RET_PCP","XSTUFACR","STUFACR","Year"
"1",100654,"R",1288,"R",1604,"R",80,"R",1410,"R",0,"R",0,"R",1410,"R",829,"R",59,"R",38,"R",0,"R",0,"R",38,"R",5,"R",13,"R",18,2017
"2",100663,"R",2228,"R",3964,"R",56,"R",1931,"R",0,"R",0,"R",1931,"R",1629,"R",84,"R",73,"R",0,"R",0,"R",73,"R",32,"R",44,"R",19,2017
"3",100690,"R",5,"R",240,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",0,"R",0,"R",0,"R",0,"R",0,"A",NA,"R",11,2017
"4",100706,"R",1341,"R",2260,"R",59,"R",1203,"R",10,"R",0,"R",1193,"R",984,"R",82,"R",9,"R",1,"R",0,"R",8,"R",3,"R",38,"R",16,2017
"5",100724,"R",951,"R",1088,"R",87,"R",1143,"R",0,"R",0,"R",1143,"R",677,"R",59,"R",20,"R",0,"R",0,"R",20,"R",7,"R",35,"R",15,2017
"6",100751,"R",7385,"R",9214,"R",80,"R",7541,"R",3,"R",0,"R",7538,"R",6565,"R",87,"R",18,"R",0,"R",0,"R",18,"R",10,"R",56,"R",23,2017
"7",100760,"R",349,"R",791,"R",44,"R",340,"R",0,"R",0,"R",340,"R",215,"R",63,"R",48,"R",0,"R",0,"R",48,"R",19,"R",40,"R",20,2017
"8",100812,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",15,2017
"9",100830,"R",627,"R",1190,"R",53,"R",558,"R",0,"Z",0,"R",558,"R",381,"R",68,"R",35,"R",0,"R",0,"R",35,"R",16,"R",46,"R",16,2017
"10",100858,"R",4771,"R",6446,"R",74,"R",4487,"R",6,"R",0,"R",4481,"R",4101,"R",92,"R",42,"R",3,"R",0,"R",39,"R",34,"R",87,"R",19,2017
"11",100937,"R",349,"R",375,"R",93,"R",328,"R",0,"R",0,"R",328,"R",247,"R",75,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"A",NA,"R",13,2017
"12",101028,"R",276,"R",600,"R",46,"R",293,"R",0,"Z",0,"R",293,"R",161,"R",55,"R",66,"R",0,"Z",0,"R",66,"R",25,"R",38,"R",16,2017
"13",101073,"R",200,"R",254,"R",79,"R",129,"R",0,"R",0,"R",129,"R",45,"R",35,"R",4,"Z",0,"Z",0,"R",4,"R",1,"R",25,"R",20,2017
"14",101116,"R",8,"R",62,"R",13,"R",13,"Z",0,"Z",0,"R",13,"R",5,"R",38,"R",2,"Z",0,"Z",0,"R",2,"R",0,"R",0,"R",11,2017
"15",101143,"R",306,"R",831,"R",37,"R",296,"R",0,"R",0,"R",296,"R",149,"R",50,"R",88,"R",0,"R",0,"R",88,"R",31,"R",35,"R",17,2017
